YouTube videos

Link                                            Description
https://www.youtube.com/watch?v=KX0T-aOxIj4     Diamond and Silk -- Trump Bday
https://www.youtube.com/watch?v=9l71JL_OJGY     Approval socialism 1
https://www.youtube.com/watch?v=SZRi2h487C8     Approval socialism 2
https://www.youtube.com/watch?v=QULBbGZhJd8     NJ Trump Birthday
https://www.youtube.com/watch?v=nbkGmcr8Ork     National Bday
https://www.youtube.com/watch?v=PqyLdvhq9Ts     Media fairness
https://www.youtube.com/watch?v=c6COLp0v3WA     Trump approval
https://www.youtube.com/watch?v=dVECSznSgHg     Trump approval survey 2
https://www.youtube.com/watch?v=CMmEGNheTjg     Meet him

Fuck this asshole. I made the mistake of voting for Jill Stein. I won't this time.
